Category,CN Code,Description,Country,Type,Value
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Norway,Total,0.14
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Russia,Direct,1.42
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Russia,Indirect,0.03
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Russia,Total,1.45
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Serbia,Direct,0.11
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Serbia,Indirect,0.04
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Serbia,Total,0.14
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",South Africa,Direct,0.43
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",South Africa,Indirect,0.31
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",South Africa,Total,0.74
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Switzerland,Direct,0.17
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Switzerland,Indirect,0
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Switzerland,Total,0.17
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Taiwan,Direct,0.16
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Taiwan,Indirect,0.04
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Taiwan,Total,0.2
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Türkiye,Direct,0.22
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Türkiye,Indirect,0.03
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Türkiye,Total,0.25
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Ukraine,Direct,0.7
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Ukraine,Indirect,0.05
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",Ukraine,Total,0.75
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",United Kingdom,Direct,0.25
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",United Kingdom,Indirect,0.01
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",United Kingdom,Total,0.26
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",United States,Direct,1.09
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",United States,Indirect,0.02
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",United States,Total,1.11
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",EU27,Direct,0.17
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",EU27,Indirect,0.02
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites",EU27,Total,0.19
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites","Weighted average
primary",Direct,0.31
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites","Weighted average
primary",Indirect,0.05
Sintered Ore,2601 12 00,"Agglomerated iron ores and concentrates, other than roasted iron pyrites","Weighted average
primary",Total,0.36
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Default Direct,emissions,1.9
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Default Indirect,emissions,0.17
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Default Total,emissions,2.07
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Belarus,Direct,1.38
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Belarus,Indirect,0.08
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Belarus,Total,1.47
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Brazil,Direct,1.79
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Brazil,Indirect,0.03
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Brazil,Total,1.82
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",China,Direct,1.75
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",China,Indirect,0.17
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",China,Total,1.93
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",India,Direct,2.74
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",India,Indirect,0.3
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",India,Total,3.04
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Japan,Direct,1.98
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Japan,Indirect,0.14
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Japan,Total,2.11
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",South Korea,Direct,1.66
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",South Korea,Indirect,0.14
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",South Korea,Total,1.79
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Norway,Direct,12.73
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Norway,Indirect,0.01
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Norway,Total,12.74
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Russia,Direct,3.3
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Russia,Indirect,0.12
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Russia,Total,3.42
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Serbia,Direct,2.26
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Serbia,Indirect,0.37
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Serbia,Total,2.63
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",South Africa,Direct,3.44
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",South Africa,Indirect,0.91
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",South Africa,Total,4.36
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Switzerland,Direct,1.38
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Switzerland,Indirect,0.08
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Switzerland,Total,1.47
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Taiwan,Direct,1.79
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Taiwan,Indirect,0.13
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Taiwan,Total,1.92
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Türkiye,Direct,1.74
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Türkiye,Indirect,0.11
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Türkiye,Total,1.85
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Ukraine,Direct,1.98
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Ukraine,Indirect,0.14
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",Ukraine,Total,2.13
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",United Kingdom,Direct,1.88
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",United Kingdom,Indirect,0.06
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",United Kingdom,Total,1.94
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",United States,Direct,1.5
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",United States,Indirect,0.14
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",United States,Total,1.64
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",EU27,Direct,1.69
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",EU27,Indirect,0.07
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms",EU27,Total,1.76
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms","Weighted average
primary",Direct,1.9
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms","Weighted average
primary",Indirect,0.17
Pig iron,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms","Weighted average
primary",Total,2.07
FeMn,7202 1,Ferro-manganese,Default Direct,emissions,1.44
FeMn,7202 1,Ferro-manganese,Default Indirect,emissions,2.08
FeMn,7202 1,Ferro-manganese,Default Total,emissions,3.51
FeMn,7202 1,Ferro-manganese,Belarus,Direct,1.44
FeMn,7202 1,Ferro-manganese,Belarus,Indirect,1.21
FeMn,7202 1,Ferro-manganese,Belarus,Total,2.65
FeMn,7202 1,Ferro-manganese,Brazil,Direct,1.44
FeMn,7202 1,Ferro-manganese,Brazil,Indirect,0.39
FeMn,7202 1,Ferro-manganese,Brazil,Total,1.83
FeMn,7202 1,Ferro-manganese,China,Direct,1.44
FeMn,7202 1,Ferro-manganese,China,Indirect,2.04
FeMn,7202 1,Ferro-manganese,China,Total,3.48
FeMn,7202 1,Ferro-manganese,India,Direct,1.44
FeMn,7202 1,Ferro-manganese,India,Indirect,2.37
FeMn,7202 1,Ferro-manganese,India,Total,3.81
FeMn,7202 1,Ferro-manganese,Japan,Direct,1.44
FeMn,7202 1,Ferro-manganese,Japan,Indirect,1.64
FeMn,7202 1,Ferro-manganese,Japan,Total,3.08
FeMn,7202 1,Ferro-manganese,South Korea,Direct,1.44
FeMn,7202 1,Ferro-manganese,South Korea,Indirect,1.69
FeMn,7202 1,Ferro-manganese,South Korea,Total,3.13
FeMn,7202 1,Ferro-manganese,Norway,Direct,1.44
FeMn,7202 1,Ferro-manganese,Norway,Indirect,0.03
FeMn,7202 1,Ferro-manganese,Norway,Total,1.47
FeMn,7202 1,Ferro-manganese,Russia,Direct,1.44
FeMn,7202 1,Ferro-manganese,Russia,Indirect,1.18
FeMn,7202 1,Ferro-manganese,Russia,Total,2.62
FeMn,7202 1,Ferro-manganese,Serbia,Direct,0
FeMn,7202 1,Ferro-manganese,Serbia,Indirect,0
FeMn,7202 1,Ferro-manganese,Serbia,Total,0
FeMn,7202 1,Ferro-manganese,South Africa,Direct,1.44
FeMn,7202 1,Ferro-manganese,South Africa,Indirect,2.94
FeMn,7202 1,Ferro-manganese,South Africa,Total,4.38
FeMn,7202 1,Ferro-manganese,Switzerland,Direct,0
FeMn,7202 1,Ferro-manganese,Switzerland,Indirect,0
FeMn,7202 1,Ferro-manganese,Switzerland,Total,0
FeMn,7202 1,Ferro-manganese,Taiwan,Direct,1.44
FeMn,7202 1,Ferro-manganese,Taiwan,Indirect,1.85
FeMn,7202 1,Ferro-manganese,Taiwan,Total,3.29
FeMn,7202 1,Ferro-manganese,Türkiye,Direct,0
FeMn,7202 1,Ferro-manganese,Türkiye,Indirect,0
FeMn,7202 1,Ferro-manganese,Türkiye,Total,0
FeMn,7202 1,Ferro-manganese,Ukraine,Direct,1.44
FeMn,7202 1,Ferro-manganese,Ukraine,Indirect,1.23
FeMn,7202 1,Ferro-manganese,Ukraine,Total,2.67
FeMn,7202 1,Ferro-manganese,United Kingdom,Direct,1.44
FeMn,7202 1,Ferro-manganese,United Kingdom,Indirect,0.84
FeMn,7202 1,Ferro-manganese,United Kingdom,Total,2.28
FeMn,7202 1,Ferro-manganese,United States,Direct,1.44
FeMn,7202 1,Ferro-manganese,United States,Indirect,1.35
FeMn,7202 1,Ferro-manganese,United States,Total,2.79
FeMn,7202 1,Ferro-manganese,EU27,Direct,1.44
FeMn,7202 1,Ferro-manganese,EU27,Indirect,0.92
FeMn,7202 1,Ferro-manganese,EU27,Total,2.36
FeMn,7202 1,Ferro-manganese,"Weighted average
primary",Direct,1.44
FeMn,7202 1,Ferro-manganese,"Weighted average
primary",Indirect,2.08
FeMn,7202 1,Ferro-manganese,"Weighted average
primary",Total,3.51
FeCr,7202 4,Ferro-chromium,Default Direct,emissions,2.076
FeCr,7202 4,Ferro-chromium,Default Indirect,emissions,3.38
FeCr,7202 4,Ferro-chromium,Default Total,emissions,5.45
FeCr,7202 4,Ferro-chromium,Belarus,Direct,2.07
FeCr,7202 4,Ferro-chromium,Belarus,Indirect,1.51
FeCr,7202 4,Ferro-chromium,Belarus,Total,3.58
FeCr,7202 4,Ferro-chromium,Brazil,Direct,2.07
FeCr,7202 4,Ferro-chromium,Brazil,Indirect,0.49
FeCr,7202 4,Ferro-chromium,Brazil,Total,2.55
FeCr,7202 4,Ferro-chromium,China,Direct,2.07
FeCr,7202 4,Ferro-chromium,China,Indirect,2.54
FeCr,7202 4,Ferro-chromium,China,Total,4.61
FeCr,7202 4,Ferro-chromium,India,Direct,2.07
FeCr,7202 4,Ferro-chromium,India,Indirect,2.96
FeCr,7202 4,Ferro-chromium,India,Total,5.03
FeCr,7202 4,Ferro-chromium,Japan,Direct,0
FeCr,7202 4,Ferro-chromium,Japan,Indirect,0
FeCr,7202 4,Ferro-chromium,Japan,Total,0
FeCr,7202 4,Ferro-chromium,South Korea,Direct,0
FeCr,7202 4,Ferro-chromium,South Korea,Indirect,0
FeCr,7202 4,Ferro-chromium,South Korea,Total,0
FeCr,7202 4,Ferro-chromium,Norway,Direct,0
FeCr,7202 4,Ferro-chromium,Norway,Indirect,0
FeCr,7202 4,Ferro-chromium,Norway,Total,0
FeCr,7202 4,Ferro-chromium,Russia,Direct,2.07
FeCr,7202 4,Ferro-chromium,Russia,Indirect,1.47
FeCr,7202 4,Ferro-chromium,Russia,Total,3.54
FeCr,7202 4,Ferro-chromium,Serbia,Direct,0
FeCr,7202 4,Ferro-chromium,Serbia,Indirect,0
FeCr,7202 4,Ferro-chromium,Serbia,Total,0
FeCr,7202 4,Ferro-chromium,South Africa,Direct,2.07
FeCr,7202 4,Ferro-chromium,South Africa,Indirect,3.68
FeCr,7202 4,Ferro-chromium,South Africa,Total,5.74
FeCr,7202 4,Ferro-chromium,Switzerland,Direct,0
FeCr,7202 4,Ferro-chromium,Switzerland,Indirect,0
FeCr,7202 4,Ferro-chromium,Switzerland,Total,0
FeCr,7202 4,Ferro-chromium,Taiwan,Direct,2.07
FeCr,7202 4,Ferro-chromium,Taiwan,Indirect,2.31
FeCr,7202 4,Ferro-chromium,Taiwan,Total,4.38
FeCr,7202 4,Ferro-chromium,Türkiye,Direct,2.07
FeCr,7202 4,Ferro-chromium,Türkiye,Indirect,1.81
FeCr,7202 4,Ferro-chromium,Türkiye,Total,3.88
FeCr,7202 4,Ferro-chromium,Ukraine,Direct,0
FeCr,7202 4,Ferro-chromium,Ukraine,Indirect,0
FeCr,7202 4,Ferro-chromium,Ukraine,Total,0
FeCr,7202 4,Ferro-chromium,United Kingdom,Direct,0
FeCr,7202 4,Ferro-chromium,United Kingdom,Indirect,0
FeCr,7202 4,Ferro-chromium,United Kingdom,Total,0
FeCr,7202 4,Ferro-chromium,United States,Direct,0
FeCr,7202 4,Ferro-chromium,United States,Indirect,0
FeCr,7202 4,Ferro-chromium,United States,Total,0
FeCr,7202 4,Ferro-chromium,EU27,Direct,2.07
FeCr,7202 4,Ferro-chromium,EU27,Indirect,1.15
FeCr,7202 4,Ferro-chromium,EU27,Total,3.22
FeCr,7202 4,Ferro-chromium,"Weighted average
primary",Direct,2.06
FeCr,7202 4,Ferro-chromium,"Weighted average
primary",Indirect,3.38
FeCr,7202 4,Ferro-chromium,"Weighted average
primary",Total,5.45
FeNi,7202 6,Ferro-nickel,Default Direct,emissions,3.486
FeNi,7202 6,Ferro-nickel,Default Indirect,emissions,2.81
FeNi,7202 6,Ferro-nickel,Default Total,emissions,6.26
FeNi,7202 6,Ferro-nickel,Belarus,Direct,3.48
FeNi,7202 6,Ferro-nickel,Belarus,Indirect,3.14
FeNi,7202 6,Ferro-nickel,Belarus,Total,6.62
FeNi,7202 6,Ferro-nickel,Brazil,Direct,3.48
FeNi,7202 6,Ferro-nickel,Brazil,Indirect,1.01
FeNi,7202 6,Ferro-nickel,Brazil,Total,4.49
FeNi,7202 6,Ferro-nickel,China,Direct,0
FeNi,7202 6,Ferro-nickel,China,Indirect,0
FeNi,7202 6,Ferro-nickel,China,Total,0
FeNi,7202 6,Ferro-nickel,India,Direct,0
FeNi,7202 6,Ferro-nickel,India,Indirect,0
FeNi,7202 6,Ferro-nickel,India,Total,0
FeNi,7202 6,Ferro-nickel,Japan,Direct,3.48
FeNi,7202 6,Ferro-nickel,Japan,Indirect,4.27
FeNi,7202 6,Ferro-nickel,Japan,Total,7.75
FeNi,7202 6,Ferro-nickel,South Korea,Direct,3.48
FeNi,7202 6,Ferro-nickel,South Korea,Indirect,4.38
FeNi,7202 6,Ferro-nickel,South Korea,Total,7.86
FeNi,7202 6,Ferro-nickel,Norway,Direct,0
FeNi,7202 6,Ferro-nickel,Norway,Indirect,0
FeNi,7202 6,Ferro-nickel,Norway,Total,0
FeNi,7202 6,Ferro-nickel,Russia,Direct,0
FeNi,7202 6,Ferro-nickel,Russia,Indirect,0
FeNi,7202 6,Ferro-nickel,Russia,Total,0
FeNi,7202 6,Ferro-nickel,Serbia,Direct,3.48
FeNi,7202 6,Ferro-nickel,Serbia,Indirect,6.28
FeNi,7202 6,Ferro-nickel,Serbia,Total,9.76
FeNi,7202 6,Ferro-nickel,South Africa,Direct,0
FeNi,7202 6,Ferro-nickel,South Africa,Indirect,0
FeNi,7202 6,Ferro-nickel,South Africa,Total,0
FeNi,7202 6,Ferro-nickel,Switzerland,Direct,0
FeNi,7202 6,Ferro-nickel,Switzerland,Indirect,0
FeNi,7202 6,Ferro-nickel,Switzerland,Total,0
FeNi,7202 6,Ferro-nickel,Taiwan,Direct,3.48
FeNi,7202 6,Ferro-nickel,Taiwan,Indirect,4.8
FeNi,7202 6,Ferro-nickel,Taiwan,Total,8.28
FeNi,7202 6,Ferro-nickel,Türkiye,Direct,0
FeNi,7202 6,Ferro-nickel,Türkiye,Indirect,0
FeNi,7202 6,Ferro-nickel,Türkiye,Total,0
FeNi,7202 6,Ferro-nickel,Ukraine,Direct,3.48
FeNi,7202 6,Ferro-nickel,Ukraine,Indirect,3.21
FeNi,7202 6,Ferro-nickel,Ukraine,Total,6.69
FeNi,7202 6,Ferro-nickel,United Kingdom,Direct,3.48
FeNi,7202 6,Ferro-nickel,United Kingdom,Indirect,2.18
FeNi,7202 6,Ferro-nickel,United Kingdom,Total,5.66
FeNi,7202 6,Ferro-nickel,United States,Direct,0
FeNi,7202 6,Ferro-nickel,United States,Indirect,0
FeNi,7202 6,Ferro-nickel,United States,Total,0
FeNi,7202 6,Ferro-nickel,EU27,Direct,3.48
FeNi,7202 6,Ferro-nickel,EU27,Indirect,2.4
FeNi,7202 6,Ferro-nickel,EU27,Total,5.88
FeNi,7202 6,Ferro-nickel,"Weighted average
primary",Direct,3.45
FeNi,7202 6,Ferro-nickel,"Weighted average
primary",Indirect,2.81
FeNi,7202 6,Ferro-nickel,"Weighted average
primary",Total,6.26
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Default Direct,emissions,4.81
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Default Indirect,emissions,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Default Total,emissions,4.81
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Belarus,Direct,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Belarus,Indirect,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Belarus,Total,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Brazil,Direct,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Brazil,Indirect,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Brazil,Total,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",China,Direct,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",China,Indirect,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",China,Total,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",India,Direct,4.81
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",India,Indirect,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",India,Total,4.81
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Japan,Direct,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Japan,Indirect,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Japan,Total,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",South Korea,Direct,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",South Korea,Indirect,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",South Korea,Total,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Norway,Direct,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Norway,Indirect,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Norway,Total,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Russia,Direct,1.62
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Russia,Indirect,0.12
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Russia,Total,1.74
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Serbia,Direct,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Serbia,Indirect,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Serbia,Total,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",South Africa,Direct,0.53
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",South Africa,Indirect,0.7
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",South Africa,Total,1.23
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Switzerland,Direct,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Switzerland,Indirect,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Switzerland,Total,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Taiwan,Direct,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Taiwan,Indirect,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Taiwan,Total,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Türkiye,Direct,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Türkiye,Indirect,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Türkiye,Total,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Ukraine,Direct,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Ukraine,Indirect,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",Ukraine,Total,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",United Kingdom,Direct,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",United Kingdom,Indirect,0
DRI,7203,"Ferrous products obtained by direct reduction of iron ore and
other spongy ferrous products",United Kingdom,Total,0
